시간,버튼,X,Y,Z,압력_NORMAL
255007445,1,6956,8784,659,257
255007454,0,6951,8775,666,0
255007464,1,6953,8780,615,553
255007473,0,6953,8771,687,0
255007484,1,6964,8762,681,406
255007493,1,6969,8750,590,301
255007504,1,6961,8754,644,401
255007515,0,6951,8754,599,0
255007525,1,6942,8746,692,328
255007535,1,6939,8756,573,352
255007546,1,6946,8767,607,352
255007557,1,6943,8771,610,561
255007564,1,6939,8764,587,308
255007571,0,6936,8774,628,0
255007580,1,6945,8770,639,484
255007591,0,6952,8772,664,0
255007602,1,6947,8780,660,333
255007610,1,6956,8768,678,408
255007619,0,6962,8769,674,0
255007627,0,6968,8760,580,0
255007636,1,6978,8762,679,445
255007645,1,6989,8757,689,562
255007652,1,6995,8747,650,529
255007661,0,6983,8736,645,0
255007672,0,6991,8730,680,0
255007680,0,6991,8722,578,0
255007687,0,6995,8716,605,0
255007694,1,6999,8714,683,224
255007705,0,7002,8723,625,0
255007712,1,7011,8726,670,563
255007719,0,7017,8732,567,0
255007728,1,7018,8727,680,345
255007736,1,7027,8720,656,403
255007746,0,7034,8724,634,0
255007754,0,7043,8726,572,0
255007765,0,7033,8732,555,0
255007774,0,7024,8739,627,0
255007782,1,7022,8728,601,261
255007789,1,7011,8739,600,406
255007796,0,7007,8731,664,0
255007807,1,7014,8735,596,554
255007818,1,7010,8728,683,599
255007829,0,7001,8725,614,0
255007837,1,7001,8723,568,253
255007846,1,7001,8712,690,293
255007856,0,7004,8716,554,0
255007864,1,7014,8721,665,517
255007871,1,7007,8711,613,421
255007878,0,7015,8712,565,0
255007887,0,7024,8709,684,0
255007897,0,7031,8708,580,0
255007904,1,7040,8701,701,580
255007913,0,7051,8702,686,0
255007920,0,7062,8697,656,0
255007931,0,7051,8692,627,0
255007938,0,7044,8695,579,0
255007948,0,7041,8685,661,0
255007957,1,7043,8688,565,452
255007964,0,7041,8696,600,0
255007975,1,7034,8697,652,313
255007984,1,7024,8700,637,396
255007995,0,7015,8706,626,0
255008006,1,7022,8709,639,410
255008015,0,7032,8701,611,0
255008026,0,7031,8706,684,0
255008033,1,7024,8707,584,402
255008042,0,7034,8716,672,0
255008051,1,7026,8726,641,258
255008058,1,7035,8732,616,520
255008068,1,7030,8731,645,413
255008076,1,7033,8719,611,574
255008085,1,7028,8728,683,219
255008095,1,7028,8728,589,521
255008102,1,7019,8737,627,225
255008112,1,7028,8744,581,207
255008120,1,7035,8751,614,343
255008129,1,7035,8753,640,354
255008136,0,7042,8745,671,0
255008143,1,7050,8746,676,475
255008154,0,7054,8750,616,0
255008162,0,7060,8751,563,0
255008170,1,7059,8740,572,450
255008178,1,7056,8747,636,470
255008187,0,7051,8742,592,0
255008197,1,7046,8740,688,309
255008208,1,7043,8734,601,227
255008218,0,7034,8726,578,0
255008228,1,7027,8737,672,582
255008236,0,7025,8738,648,0
255008247,1,7022,8733,651,327
255008257,1,7032,8737,609,264
255008265,1,7021,8733,693,477
255008272,0,7027,8732,697,0
255008280,1,7037,8726,633,212
255008287,0,7045,8731,629,0
255008294,1,7044,8724,623,410
255008301,0,7049,8727,591,0
255008311,1,7044,8727,633,564
255008318,1,7050,8727,642,387
255008328,0,7045,8727,672,0
255008338,1,7035,8717,702,436
255008349,0,7045,8712,614,0
255008356,0,7035,8709,683,0
255008365,1,7027,8716,679,544
255008372,1,7035,8723,702,582
255008382,1,7032,8728,633,475
255008392,1,7034,8728,610,472
255008400,0,7044,8729,624,0
255008409,1,7044,8723,568,428
255008417,0,7048,8717,565,0
255008425,1,7053,8717,646,370
255008436,1,7057,8712,695,315
255008443,1,7056,8720,609,583
255008453,0,7058,8708,596,0
255008462,0,7061,8704,584,0
255008472,0,7062,8699,624,0
255008481,1,7050,8697,594,431
255008490,0,7048,8701,637,0
255008498,1,7048,8707,667,509
255008507,1,7056,8713,656,262
255008516,0,7060,8706,699,0
255008526,0,7070,8698,667,0
255008536,0,7074,8696,610,0
255008547,1,7078,8692,635,427
255008555,1,7079,8687,580,383
255008562,1,7082,8682,666,296
255008572,1,7078,8684,628,599
255008583,1,7067,8674,670,449
255008591,0,7074,8669,562,0
255008600,0,7066,8659,579,0
255008607,1,7065,8655,596,380
255008615,0,7075,8660,636,0
255008625,0,7085,8663,664,0
255008632,1,7074,8653,701,577
255008639,0,7081,8662,668,0
255008650,1,7082,8669,577,501
255008661,0,7074,8662,665,0
255008670,1,7076,8672,570,290
255008681,0,7085,8667,592,0
255008689,0,7092,8671,613,0
255008700,1,7100,8681,608,236
255008709,0,7092,8677,611,0
255008717,0,7098,8675,660,0
255008727,0,7098,8670,677,0
255008737,0,7094,8664,583,0
255008747,1,7082,8674,592,477
255008758,0,7070,8671,701,0
255008765,1,7060,8671,560,407
255008772,1,7060,8675,633,365
255008783,0,7061,8676,624,0
255008794,0,7061,8680,612,0
255008805,0,7065,8690,578,0
255008816,1,7058,8683,698,258
255008826,0,7059,8684,565,0
255008836,1,7065,8682,633,438
255008845,1,7056,8672,596,321
255008856,1,7050,8670,617,249
255008865,1,7050,8663,680,513
255008876,1,7052,8654,696,495
255008886,1,7052,8643,555,486
255008895,1,7046,8643,623,463
255008905,0,7043,8646,582,0
255008913,1,7048,8638,612,572
255008921,0,7048,8648,646,0
255008929,1,7047,8639,558,292
255008937,0,7042,8635,558,0
255008946,0,7039,8633,595,0
255008953,0,7030,8637,593,0
255008962,1,7039,8648,574,490
255008969,1,7042,8658,555,466
255008976,0,7052,8659,570,0
255008983,1,7048,8669,635,401
255008994,1,7050,8676,582,455
255009001,1,7050,8687,577,567
255009009,0,7051,8697,679,0
255009016,1,7041,8704,562,247
255009025,1,7049,8712,687,413
255009032,1,7038,8711,594,320
255009040,1,7036,8714,570,440
255009049,1,7039,8707,600,563
255009057,0,7039,8698,682,0
255009065,1,7041,8693,663,462
255009075,1,7039,8697,672,262
255009085,0,7031,8700,588,0
255009095,1,7033,8699,696,300
255009103,0,7040,8691,581,0
255009112,1,7042,8692,658,474
255009123,0,7052,8699,581,0
255009133,0,7043,8688,702,0
255009141,1,7034,8688,586,474
255009152,1,7043,8679,663,221
255009162,1,7049,8685,622,237
255009172,0,7056,8681,584,0
255009182,1,7048,8688,678,542
255009191,1,7039,8687,629,489
255009199,1,7033,8678,680,346
255009208,0,7039,8686,584,0
255009216,1,7036,8675,612,393
255009223,0,7039,8676,659,0
255009230,1,7047,8667,663,526
255009238,1,7051,8655,617,547
255009248,0,7045,8644,658,0
255009258,1,7043,8639,627,505
255009269,1,7033,8636,665,482
255009277,0,7022,8645,582,0
255009287,1,7019,8642,629,495
255009294,0,7021,8634,574,0
255009301,0,7019,8630,632,0
255009309,1,7008,8629,628,272
255009317,1,6997,8632,591,475
255009327,0,7003,8623,682,0
255009334,0,7005,8622,653,0
255009344,1,6999,8633,662,593
255009355,0,7000,8622,680,0
255009363,1,7011,8615,574,235
255009374,0,6999,8615,700,0
255009382,0,7009,8615,675,0
255009391,0,7017,8610,692,0
255009398,0,7018,8604,598,0
255009408,0,7027,8606,596,0
255009416,1,7034,8616,675,303
255009425,1,7024,8620,662,282
255009436,0,7014,8612,581,0
255009443,1,7003,8612,641,524
255009450,1,7013,8610,640,253
255009459,0,7016,8600,572,0
255009468,0,7024,8602,681,0
255009475,1,7031,8600,581,207
255009484,1,7021,8600,661,563
255009494,0,7012,8606,571,0
255009503,0,7012,8606,638,0
255009513,1,7020,8606,595,541
255009522,1,7015,8603,667,545
255009530,1,7015,8600,591,219
255009539,0,7025,8601,563,0
255009547,1,7023,8600,571,297
255009557,1,7020,8600,624,554
255009566,1,7022,8611,563,462
255009577,0,7021,8604,662,0
255009587,1,7029,8600,605,245
255009594,0,7038,8609,668,0
255009604,1,7042,8603,674,565
255009613,1,7038,8613,580,478
255009622,0,7047,8619,649,0
255009632,1,7037,8623,645,407
255009643,1,7048,8629,658,557
255009652,0,7057,8636,616,0
255009659,0,7066,8640,626,0
255009667,1,7069,8645,604,429
255009674,1,7077,8634,697,203
255009684,1,7068,8622,587,270
255009695,1,7059,8627,675,443
255009704,0,7060,8632,568,0
255009713,1,7051,8624,591,216
255009721,1,7047,8615,574,229
255009730,0,7046,8606,570,0
255009738,1,7040,8600,642,582
255009746,1,7033,8600,638,399
255009755,0,7025,8600,585,0
255009763,0,7034,8600,689,0
255009774,1,7022,8600,669,389
255009782,0,7030,8600,570,0
255009791,1,7035,8600,660,385
255009800,1,7033,8600,665,578
255009808,0,7042,8600,679,0
255009816,0,7050,8610,696,0
255009826,1,7056,8620,702,464
255009837,0,7053,8628,626,0
255009846,0,7055,8622,675,0
255009855,1,7057,8612,692,205
255009866,0,7047,8607,560,0
255009874,1,7038,8613,597,284
255009885,0,7034,8614,629,0
255009896,1,7036,8608,574,301
255009903,0,7024,8605,662,0
255009910,1,7023,8609,664,387
255009917,1,7033,8607,577,333
255009925,0,7031,8608,580,0
255009933,0,7037,8619,663,0
255009940,1,7044,8607,598,267
255009947,1,7034,8602,576,205
255009958,1,7041,8611,663,537
255009966,0,7051,8611,666,0
255009976,1,7056,8613,699,448
255009985,1,7057,8614,597,573
255009995,1,7045,8620,571,574
255010003,0,7033,8626,580,0
255010012,1,7037,8618,650,298
255010021,1,7030,8618,639,325
255010031,0,7033,8621,598,0
255010041,0,7042,8629,578,0
255010052,0,7030,8622,667,0
255010061,0,7030,8620,698,0
255010068,0,7024,8630,643,0
255010079,1,7035,8636,687,502
255010087,1,7028,8632,661,444
255010094,0,7023,8635,597,0
255010105,1,7030,8627,669,445
255010115,0,7026,8616,577,0
255010123,1,7019,8614,590,448
255010134,1,7008,8609,669,458
255010143,1,7014,8614,668,440
255010154,1,7004,8602,678,352
255010163,0,7007,8600,699,0
255010172,0,7016,8606,625,0
255010179,1,7004,8600,656,535
255010187,1,7004,8600,674,220
255010194,1,6998,8600,582,209
255010201,1,7009,8607,625,580
255010211,0,7005,8607,689,0
255010219,0,7008,8609,651,0
255010226,0,7018,8601,572,0
255010234,0,7018,8600,661,0
255010242,1,7014,8600,662,266
255010249,1,7012,8600,693,497
255010259,0,7011,8600,626,0
255010269,0,7018,8600,682,0
255010279,1,7013,8600,641,540
255010287,1,7023,8604,565,329
255010295,0,7020,8614,622,0
255010304,1,7025,8612,636,573
255010315,1,7031,8614,696,517
255010322,1,7030,8624,566,234
255010329,0,7021,8618,582,0
255010338,0,7024,8620,624,0
255010346,1,7031,8626,569,241
255010357,0,7028,8615,588,0
255010364,0,7033,8625,686,0
255010375,1,7043,8629,627,373
255010383,1,7032,8619,630,274
255010392,0,7040,8628,655,0
255010401,0,7047,8631,611,0
255010408,0,7042,8642,587,0
255010417,0,7042,8637,559,0
255010426,0,7045,8630,639,0
255010433,0,7042,8638,615,0
255010443,0,7046,8628,685,0
255010452,0,7036,8635,566,0
255010463,0,7040,8646,668,0
255010471,1,7041,8651,631,534
255010480,0,7032,8661,560,0
255010489,0,7032,8657,650,0
255010500,1,7039,8661,553,468
255010508,1,7038,8662,645,576
255010516,1,7032,8672,590,391
255010525,1,7036,8664,608,288
255010536,1,7044,8673,568,490
255010544,0,7048,8671,569,0
255010552,1,7039,8679,686,549
255010559,0,7031,8671,700,0
255010568,1,7026,8667,618,396
255010575,0,7035,8676,574,0
255010583,1,7028,8677,570,296
255010590,1,7016,8688,556,331
255010601,1,7014,8676,658,483
255010608,0,7007,8679,586,0
255010616,1,7018,8683,570,212
255010627,0,7016,8677,631,0
255010635,0,7022,8666,610,0
255010645,0,7033,8671,658,0
255010653,0,7034,8675,604,0
255010661,1,7042,8676,628,208
255010669,1,7048,8669,572,327
255010678,1,7036,8678,665,440
255010687,1,7046,8668,582,261
255010698,0,7053,8674,594,0
255010706,0,7056,8679,674,0
255010713,1,7066,8681,574,309
255010722,0,7072,8680,587,0
255010730,1,7079,8688,617,397
255010739,1,7087,8696,675,215
255010750,1,7090,8684,626,299
255010759,1,7100,8678,623,380
255010769,1,7100,8678,630,405
255010778,0,7100,8682,692,0
255010785,0,7100,8684,610,0
255010794,1,7100,8672,575,478
255010802,1,7100,8671,578,226
255010809,1,7100,8681,621,391
255010820,0,7088,8684,639,0
255010831,1,7090,8674,586,542
255010838,0,7100,8668,555,0
255010846,0,7100,8666,687,0
255010853,1,7100,8673,558,423
255010861,1,7089,8664,649,325
255010869,0,7091,8661,603,0
255010879,0,7087,8663,614,0
255010888,0,7088,8668,682,0
255010898,0,7088,8670,641,0
255010908,1,7076,8668,577,273
255010919,1,7084,8661,640,240
255010926,1,7076,8650,673,551
255010936,1,7072,8641,569,536
255010947,0,7067,8639,637,0
255010958,1,7078,8636,697,564
255010966,0,7085,8628,597,0
255010974,1,7086,8632,684,356
255010982,0,7097,8643,599,0
255010991,1,7097,8645,567,354
255011001,1,7100,8652,644,225
255011008,1,7100,8642,571,497
255011015,1,7099,8646,615,383
255011024,1,7100,8636,604,399
255011034,0,7094,8637,598,0
255011044,0,7100,8625,601,0
255011051,1,7100,8628,644,399
255011061,1,7096,8629,642,498
255011068,0,7096,8636,615,0
255011077,0,7094,8625,694,0
255011087,1,7093,8624,630,468
255011095,0,7100,8627,618,0
255011103,0,7100,8627,575,0
255011110,0,7089,8634,572,0
255011119,0,7099,8633,592,0
255011127,0,7100,8636,635,0
255011135,0,7100,8629,652,0
255011143,1,7100,8637,623,250
255011152,1,7100,8635,600,556
255011161,0,7100,8625,674,0
255011172,0,7092,8621,567,0
255011181,1,7096,8629,701,527
255011188,0,7091,8626,677,0
255011197,1,7100,8627,692,465
255011207,1,7089,8623,674,209
255011214,1,7095,8611,655,467
255011224,1,7084,8608,673,284
255011234,0,7090,8600,564,0
255011241,0,7083,8600,677,0
255011250,1,7082,8600,560,201
255011258,1,7090,8600,664,209
255011268,1,7089,8601,638,439
255011279,1,7083,8608,639,415
255011286,1,7076,8601,596,445
255011296,0,7069,8605,603,0
255011304,1,7075,8602,701,319
255011315,1,7069,8613,570,488
255011325,1,7068,8616,579,497
255011333,0,7075,8613,584,0
255011341,0,7073,8623,609,0
255011351,1,7083,8617,585,431
255011362,1,7085,8605,636,428
255011371,0,7094,8610,662,0
255011382,0,7100,8607,639,0
255011392,0,7089,8600,565,0
255011399,1,7095,8605,646,428
255011408,1,7100,8608,692,520
255011416,1,7095,8613,664,256
255011427,1,7100,8613,581,538
255011436,0,7099,8602,660,0
255011446,0,7091,8611,554,0
255011457,1,7100,8610,625,215
255011468,0,7098,8607,604,0
255011479,1,7099,8612,658,342
255011489,0,7100,8615,637,0
255011496,1,7099,8607,637,350
255011507,1,7093,8602,675,350
255011518,0,7088,8605,605,0
255011526,1,7087,8600,649,455
255011536,0,7079,8609,580,0
255011545,1,7080,8600,655,532
255011553,1,7081,8600,620,241
255011564,1,7092,8600,653,399
255011573,1,7094,8600,557,598
255011584,1,7100,8600,556,595
255011592,1,7091,8610,653,297
255011601,0,7099,8615,615,0
255011608,1,7095,8616,645,459
255011615,1,7100,8618,632,227
255011625,1,7089,8615,648,200
255011633,1,7100,8605,642,373
255011640,1,7100,8614,611,331
255011647,0,7100,8603,601,0
255011656,0,7100,8614,676,0
255011664,0,7100,8614,695,0
255011673,1,7099,8605,665,394
255011681,0,7100,8609,628,0
255011692,1,7099,8619,636,445
255011702,1,7100,8621,589,344
255011713,0,7100,8626,614,0
255011723,1,7100,8632,596,564
255011730,1,7091,8621,621,393
255011738,1,7087,8621,674,430
255011746,1,7093,8629,644,591
255011753,1,7100,8637,561,248
255011760,0,7100,8632,615,0
255011769,0,7088,8632,630,0
255011776,0,7086,8636,588,0
255011784,1,7079,8624,573,270
255011794,0,7090,8625,668,0
255011804,0,7082,8636,573,0
255011812,1,7088,8624,683,392
255011820,0,7084,8619,619,0
255011827,1,7077,8619,661,254
255011835,1,7087,8622,667,397
255011846,0,7097,8618,633,0
255011857,0,7100,8629,687,0
255011865,0,7100,8625,569,0
255011874,1,7091,8631,621,216
255011882,1,7085,8635,588,238
255011893,1,7077,8634,581,395
255011900,1,7088,8635,698,524
255011908,0,7087,8640,569,0
255011917,1,7091,8628,584,534
255011927,1,7100,8618,579,413
255011936,1,7100,8606,661,412
255011943,1,7094,8615,664,345
255011952,0,7088,8619,634,0
255011962,1,7077,8613,689,237
255011971,0,7072,8619,587,0
255011979,1,7063,8613,702,403
255011989,1,7073,8604,553,287
255011996,1,7070,8600,594,307
255012006,0,7075,8600,626,0
255012016,0,7066,8600,614,0
255012023,0,7076,8600,671,0
255012031,1,7069,8600,678,513
255012039,0,7070,8600,653,0
255012047,1,7060,8609,626,541
255012056,1,7059,8612,559,344
255012067,0,7050,8609,640,0
255012074,1,7056,8601,573,592
255012084,0,7046,8600,620,0
255012091,1,7049,8609,608,490
255012101,1,7049,8600,630,501
255012112,1,7053,8600,651,431
255012119,0,7053,8607,618,0
255012129,1,7062,8609,619,306
255012138,0,7061,8620,621,0
255012148,0,7061,8616,609,0
255012159,0,7061,8627,649,0
255012166,0,7064,8627,587,0
255012175,1,7062,8621,690,316
255012183,0,7052,8616,583,0
255012192,1,7052,8605,593,269
255012202,1,7057,8608,591,595
255012209,1,7050,8618,622,290
255012217,0,7057,8620,665,0
255012228,1,7061,8627,574,488
255012236,0,7055,8632,670,0
255012247,0,7061,8629,631,0
255012255,1,7060,8634,568,286
255012264,1,7049,8634,611,368
255012275,0,7057,8628,597,0
255012285,0,7057,8622,599,0
255012296,1,7049,8632,605,425
255012304,0,7055,8628,616,0
255012315,0,7061,8622,556,0
255012324,0,7068,8620,649,0
255012332,1,7056,8628,654,238
255012340,1,7054,8630,675,537
255012347,0,7044,8624,681,0
255012354,0,7051,8614,603,0
255012362,0,7050,8611,621,0
255012369,1,7043,8608,628,313
255012379,0,7047,8610,622,0
255012386,0,7039,8611,642,0
255012396,1,7031,8613,696,322
255012403,1,7021,8620,647,246
255012414,1,7031,8618,618,348
255012423,0,7024,8619,691,0
255012430,0,7017,8627,667,0
255012441,0,7024,8622,610,0
255012449,1,7027,8618,646,470
255012457,0,7036,8621,588,0
255012467,1,7028,8630,645,526
255012477,1,7029,8638,625,424
255012484,0,7040,8638,642,0
255012495,0,7038,8633,685,0
255012503,1,7029,8629,610,482
255012511,0,7037,8617,639,0
255012519,0,7046,8607,558,0
255012530,1,7054,8600,634,513
255012538,1,7046,8607,576,302
255012548,0,7050,8600,669,0
255012558,0,7046,8602,555,0
255012567,1,7045,8602,576,532
255012575,0,7036,8605,568,0
255012584,0,7045,8607,696,0
255012591,1,7033,8609,667,417
255012601,1,7023,8609,627,593
255012609,0,7019,8606,611,0
255012618,1,7023,8600,631,556
255012626,0,7017,8600,572,0
255012634,0,7017,8600,608,0
255012643,1,7026,8600,632,416
255012651,0,7018,8606,574,0
255012660,0,7010,8614,652,0
255012670,1,7017,8622,698,368
255012678,0,7016,8616,599,0
255012689,1,7024,8620,625,535
255012696,1,7031,8623,694,437
255012705,0,7025,8625,554,0
255012714,1,7017,8630,684,343
255012724,1,7018,8640,651,211
255012735,0,7015,8637,633,0
255012746,0,7011,8641,652,0
255012754,1,7016,8642,686,342
255012762,1,7007,8647,627,441
255012771,1,7004,8640,572,561
255012779,1,6997,8640,671,395
255012786,0,6989,8635,596,0
255012794,0,6998,8627,597,0
255012801,1,6986,8617,666,229
255012811,0,6982,8606,614,0
255012820,0,6988,8606,596,0
255012829,0,6984,8600,593,0
255012839,1,6983,8602,648,329
255012847,1,6975,8600,626,499
255012856,1,6964,8600,623,485
255012865,0,6975,8608,595,0
255012875,0,6972,8607,563,0
255012883,1,6980,8600,598,303
255012893,0,6985,8600,677,0
255012903,0,6974,8602,625,0
255012912,0,6980,8600,627,0
255012921,1,6975,8606,585,583
255012930,0,6963,8608,568,0
255012938,1,6958,8600,669,305
255012949,0,6950,8609,565,0
255012959,0,6960,8600,570,0
255012967,1,6963,8600,682,238
255012974,0,6968,8600,658,0
255012982,0,6963,8600,569,0
255012993,1,6964,8609,558,445
255013001,0,6954,8610,574,0
255013010,1,6948,8605,693,288
255013021,1,6956,8615,561,450
255013031,1,6956,8604,586,250
255013040,0,6953,8615,622,0
255013047,0,6958,8609,625,0
255013057,0,6948,8607,673,0
